"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Building a Financial Fraud Detection Agent","2026-08-22","64","22","64","34.4"
"Building a Financial Fraud Detection Model | Part 2","2026-08-22","94","52","94","55.3"
"Coding Practice","2026-08-22","60","0","60","0"
"Evaluating the Financial Fraud Detection Model","2026-08-22","196","23","196","11.7"
"MCQ Practice","2026-08-22","187","57","187","30.5"
"Building a Financial Fraud Detection Model | Part 1","2026-08-20","165","88","165","53.3"
"Coding Practice","2026-08-20","316","182","316","57.6"
"Evaluating the Financial Fraud Detection Model","2026-08-20","408","246","408","60.3"
"MCQ Practice","2026-08-20","524","334","524","63.7"
"Building a Financial Fraud Detection Model | Part 1","2026-08-19","268","161","268","60.1"
"Building a Financial Fraud Detection Model | Part 2","2026-08-19","136","97","136","71.3"
"Coding Practice","2026-08-19","441","275","505","54.5"
"Evaluating the Financial Fraud Detection Model","2026-08-19","238","143","238","60.1"
"MCQ Practice","2026-08-19","216","128","216","59.3"
"Coding Practice","2026-08-08","394","134","394","34"
"Evaluating the Financial Fraud Detection Model","2026-08-08","64","23","64","35.9"
"MCQ Practice","2026-08-08","64","24","64","37.5"
"Coding Practice","2026-08-04","571","411","571","72"
"MCQ Practice","2026-08-04","355","303","431","70.3"
"Building a Financial Fraud Detection Model | Part 2","2026-08-03","64","45","64","70.3"
"Coding Practice","2026-08-03","356","265","356","74.4"
"MCQ Practice","2026-08-03","339","256","339","75.5"
"Coding Practice","2026-08-01","60","41","60","68.3"
"MCQ Practice","2026-08-01","80","6","80","7.5"
"Module Quiz--2","2026-08-01","1279","693","1279","54.2"
"Coding Practice","2026-07-31","693","459","693","66.2"
"MCQ Practice","2026-07-31","274","124","274","45.3"
"Building a Financial Fraud Detection Model | Part 1","2026-07-30","195","134","195","68.7"
"Coding Practice","2026-07-30","370","289","370","78.1"
"MCQ Practice","2026-07-30","498","377","498","75.7"
"Building a Financial Fraud Detection Model | Part 1","2026-07-29","302","230","302","76.2"
"Building a Financial Fraud Detection Model | Part 2","2026-07-29","357","244","357","68.3"
"Coding Practice","2026-07-29","193","141","193","73.1"
"MCQ Practice","2026-07-29","178","140","178","78.7"
"Building a Financial Fraud Detection Model | Part 2","2026-07-28","227","149","227","65.6"
"Coding Practice","2026-07-28","246","194","246","78.9"
"Integrating Langsmith with the trading Agent","2026-07-28","289","244","289","84.4"
"MCQ Practice","2026-07-28","407","340","467","72.8"
"Building a Financial Fraud Detection Model | Part 2","2026-07-27","107","74","107","69.2"
"Coding Practice","2026-07-27","968","779","1108","70.3"
"MCQ Practice","2026-07-27","218","147","218","67.4"
"Building a Financial Fraud Detection Model | Part 1","2026-07-23","60","45","60","75"
"Building a Financial Fraud Detection Model | Part 2","2026-07-23","229","173","229","75.5"
"Coding Practice","2026-07-23","556","473","616","76.8"
"Integrating Langsmith with the trading Agent","2026-07-23","208","158","208","76"
"Introduction to LLM Observability","2026-07-23","39","16","39","41"
"MCQ Practice","2026-07-23","445","335","445","75.3"
"Building a Financial Fraud Detection Model | Part 1","2026-07-22","120","88","120","73.3"
"Building a Financial Fraud Detection Model | Part 2","2026-07-22","248","217","248","87.5"
"Coding Practice","2026-07-22","289","259","336","77.1"
"Introduction to LLM Observability","2026-07-22","236","205","236","86.9"
"MCQ Practice","2026-07-22","527","406","605","67.1"
"Building a Financial Fraud Detection Model | Part 1","2026-07-21","196","156","196","79.6"
"Coding Practice","2026-07-21","512","532","676","78.7"
"Introduction to LLM Observability","2026-07-21","94","77","94","81.9"
"MCQ Practice","2026-07-21","651","512","698","73.4"
"Building a Financial Fraud Detection Model | Part 1","2026-07-20","303","212","303","70"
"Building a Trading Agent | Part 2","2026-07-20","62","44","62","71"
"Coding Practice","2026-07-20","286","201","286","70.3"
"Introduction to LLM Observability","2026-07-20","128","112","128","87.5"
"MCQ Practice","2026-07-20","419","354","489","72.4"
"Building a Financial Fraud Detection Model | Part 1","2026-07-18","169","121","169","71.6"
"Coding Practice","2026-07-18","705","451","769","58.6"
"MCQ Practice","2026-07-18","205","146","205","71.2"
"Building a Financial Fraud Detection Model | Part 1","2026-07-17","60","36","60","60"
"Coding Practice","2026-07-17","355","258","355","72.7"
"MCQ Practice","2026-07-17","167","119","167","71.3"
"Building a Financial Fraud Detection Model | Part 1","2026-07-16","190","155","190","81.6"
"Building a Trading Agent | Part 2","2026-07-16","39","18","39","46.2"
"Coding Practice","2026-07-16","242","200","242","82.6"
"Integrating Langsmith with the trading Agent","2026-07-16","167","110","167","65.9"
"MCQ Practice","2026-07-16","408","343","408","84.1"
"Building a Trading Agent | Part 2","2026-07-15","247","186","247","75.3"
"Coding Practice","2026-07-15","707","688","863","79.7"
"MCQ Practice","2026-07-15","481","409","541","75.6"
"Building a Trading Agent | Part 2","2026-07-14","332","237","332","71.4"
"Coding Practice","2026-07-14","118","82","118","69.5"
"Integrating Langsmith with the trading Agent","2026-07-14","196","154","196","78.6"
"MCQ Practice","2026-07-14","483","373","483","77.2"
"Module Quiz--1","2026-07-14","1279","946","1279","74"
"Coding Practice","2026-07-13","297","226","297","76.1"
"Integrating Langsmith with the trading Agent","2026-07-13","504","364","504","72.2"
"MCQ Practice","2026-07-13","371","294","371","79.2"
"Building a Trading Agent | Part 1","2026-07-11","94","68","94","72.3"
"Building a Trading Agent | Part 2","2026-07-11","220","140","220","63.6"
"Coding Practice","2026-07-11","355","211","355","59.4"
"Integrating Langsmith with the trading Agent","2026-07-11","181","106","181","58.6"
"Introduction to LLM Observability","2026-07-11","47","21","47","44.7"
"MCQ Practice","2026-07-11","124","60","124","48.4"
"Building a Trading Agent | Part 1","2026-07-09","250","200","250","80"
"Building a Trading Agent | Part 2","2026-07-09","64","52","64","81.3"
"Coding Practice","2026-07-09","328","257","422","60.9"
"Introduction to LLM Observability","2026-07-09","256","170","256","66.4"
"MCQ Practice","2026-07-09","229","187","229","81.7"
"Building a Trading Agent | Part 1","2026-07-08","60","51","60","85"
"Building a Trading Agent | Part 2","2026-07-08","47","36","47","76.6"
"Coding Practice","2026-07-08","264","210","264","79.5"
"Introduction to LLM Observability","2026-07-08","359","288","359","80.2"
"MCQ Practice","2026-07-08","99","47","99","47.5"
"Building a Trading Agent | Part 2","2026-07-07","136","68","136","50"
"Coding Practice","2026-07-07","133","91","133","68.4"
"Introduction to LLM Observability","2026-07-07","120","72","120","60"
"MCQ Practice","2026-07-07","324","248","324","76.5"
"Building a Trading Agent | Part 1","2026-07-06","236","173","236","73.3"
"Building a Trading Agent | Part 2","2026-07-06","180","85","180","47.2"
"Coding Practice","2026-07-06","265","176","265","66.4"
"Introduction to RAG Evaluation","2026-07-06","154","121","154","78.6"
"MCQ Practice","2026-07-06","184","102","184","55.4"
"Building a Trading Agent | Part 1","2026-07-03","328","221","328","67.4"
"Building a Trading Agent | Part 2","2026-07-03","231","168","231","72.7"
"Coding Practice","2026-07-03","183","122","183","66.7"
"Introduction to LLM Observability","2026-07-03","120","90","120","75"
"Introduction to RAG Evaluation","2026-07-03","94","81","94","86.2"
"MCQ Practice","2026-07-03","323","231","323","71.5"
"Building a Trading Agent | Part 1","2026-07-02","227","125","227","55.1"
"Building a Trading Agent | Part 2","2026-07-02","60","40","60","66.7"
"Coding Practice","2026-07-02","355","238","355","67"
"MCQ Practice","2026-07-02","574","306","574","53.3"
"Building a Trading Agent | Part 1","2026-07-01","60","37","60","61.7"
"Coding Practice","2026-07-01","291","192","351","54.7"
"Enhancing Productivity with AI","2026-07-01","94","68","94","72.3"
"MCQ Practice","2026-07-01","368","224","368","60.9"
"Building a Trading Agent | Part 1","2026-06-29","307","220","307","71.7"
"Building a Trading Agent | Part 2","2026-06-29","178","113","178","63.5"
"Coding Practice","2026-06-29","130","104","130","80"
"Enhancing Productivity with AI","2026-06-29","206","147","206","71.4"
"Introduction to RAG Evaluation","2026-06-29","94","73","94","77.7"
"MCQ Practice","2026-06-29","601","381","601","63.4"
"Building a Trading Agent | Part 1","2026-06-27","247","97","247","39.3"
"Coding Practice","2026-06-27","58","0","58","0"
"MCQ Practice","2026-06-27","254","111","254","43.7"
"Building a Trading Agent | Part 1","2026-06-25","128","94","128","73.4"
"Building a Trading Agent | Part 2","2026-06-25","60","47","60","78.3"
