"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"III semester Project - 8","2026-08-22","334","22","334","6.6"
"III semester Project - 9","2026-08-22","181","22","181","12.2"
"III semester Project - 6","2026-08-20","60","22","60","36.7"
"III semester Project - 7","2026-08-20","419","152","419","36.3"
"III semester Project - 8","2026-08-20","248","116","248","46.8"
"III semester Project - 6","2026-08-19","136","44","136","32.4"
"III semester Project - 7","2026-08-19","441","191","441","43.3"
"III semester Project - 8","2026-08-19","111","50","111","45"
"III semester Project - 5","2026-08-08","94","35","94","37.2"
"III semester Project - 6","2026-08-08","133","38","133","28.6"
"III semester Project - 7","2026-08-08","317","120","317","37.9"
"III semester Project - 6","2026-08-04","678","391","678","57.7"
"III semester Project - 7","2026-08-04","58","30","58","51.7"
"III semester Project - 5","2026-08-03","428","223","428","52.1"
"III semester Project - 6","2026-08-03","178","101","178","56.7"
"III semester Project - 5","2026-08-01","449","228","449","50.8"
"III semester Project - 6","2026-08-01","94","49","94","52.1"
"III semester Project - 4","2026-07-31","274","159","274","58"
"III semester Project - 5","2026-07-31","154","79","154","51.3"
"III semester Project - 4","2026-07-30","520","333","520","64"
"III semester Project - 5","2026-07-30","60","36","60","60"
"III semester Project - 3","2026-07-29","378","235","378","62.2"
"III semester Project - 2","2026-07-28","162","96","162","59.3"
"III semester Project - 3","2026-07-28","264","168","264","63.6"
"III semester Project - 4","2026-07-28","242","173","242","71.5"
"III semester Project - 1","2026-07-27","47","27","47","57.4"
"III semester Project - 2","2026-07-27","216","114","216","52.8"
"III semester Project - 3","2026-07-27","468","310","468","66.2"
"III semester Project - 4","2026-07-27","58","39","58","67.2"
"III semester Project - 1","2026-07-23","107","71","107","66.4"
"III semester Project - 2","2026-07-23","482","340","482","70.5"
"III semester Project - 3","2026-07-23","118","69","118","58.5"
"III semester Project - 1","2026-07-22","315","225","315","71.4"
"III semester Project - 2","2026-07-22","60","22","60","36.7"
"III semester Project - 1","2026-07-21","430","313","430","72.8"
"III semester Project - 2","2026-07-21","118","91","118","77.1"
"Real Time Session 3: Activity","2026-07-21","47","15","47","31.9"
"III semester Project - 1","2026-07-20","299","204","299","68.2"
"Real Time Session 3: Activity","2026-07-20","515","289","515","56.1"
"Real Time Session 3: Activity","2026-07-18","693","321","693","46.3"
"Real Time Session 2: Activity","2026-07-17","60","35","60","58.3"
"Real Time Session 3: Activity","2026-07-17","418","245","418","58.6"
"Real Time Session 3: Activity","2026-07-16","51","83","102","81.4"
"Real Time Session 2: Activity","2026-07-15","39","9","39","23.1"
"Real Time Session 3: Activity","2026-07-15","417","260","417","62.4"
"Real Time Session 3: Activity","2026-07-14","250","139","250","55.6"
"Emphasizing Self-Expression","2026-07-13","402","283","402","70.4"
"Module 1 Quiz","2026-07-13","1279","921","1279","72"
"Real Time Session 3: Activity","2026-07-13","231","128","231","55.4"
"Emphasizing Self-Expression","2026-07-11","529","234","529","44.2"
"Framing Effective Questions","2026-07-11","62","14","62","22.6"
"Real Time Session 3: Activity","2026-07-11","60","25","60","41.7"
"Emphasizing Self-Expression","2026-07-09","276","151","276","54.7"
"Framing Effective Questions","2026-07-09","258","186","258","72.1"
"Real Time Session 3: Activity","2026-07-09","128","61","128","47.7"
"Emphasizing Self-Expression","2026-07-08","70","57","70","81.4"
"Framing Effective Questions","2026-07-08","558","371","558","66.5"
"Real Time Session 2: Activity","2026-07-08","60","34","60","56.7"
"Framing Effective Questions","2026-07-07","523","373","523","71.3"
"Real Time Session 2: Activity","2026-07-07","404","233","404","57.7"
"Designing Clear Prompts","2026-07-06","107","68","107","63.6"
"Real Time Session 2: Activity","2026-07-06","630","321","630","51"
"Designing Clear Prompts","2026-07-03","60","52","60","86.7"
"Real Time Session 2: Activity","2026-07-03","622","316","622","50.8"
"Designing Clear Prompts","2026-07-02","107","74","107","69.2"
"Real Time Session 2: Activity","2026-07-02","389","180","389","46.3"
"Designing Clear Prompts","2026-07-01","99","28","99","28.3"
"Real Time Session 2: Activity","2026-07-01","216","6","216","2.8"
"Mastering the Art of Discussion","2026-06-29","47","27","47","57.4"
"Real Time Session 2: Activity","2026-06-29","435","220","435","50.6"
"Mastering the Art of Discussion","2026-06-27","47","16","47","34"
"Real Time Session 1: Activity","2026-06-27","159","39","159","24.5"
"Real Time Session 2: Activity","2026-06-27","224","105","224","46.9"
"Designing Clear Prompts","2026-06-25","154","111","154","72.1"
"Mastering the Art of Discussion","2026-06-25","39","0","39","0"
"Real Time Session 1: Activity","2026-06-25","291","132","291","45.4"
"Real Time Session 2: Activity","2026-06-25","60","36","60","60"
"Real Time Session 1: Activity","2026-06-24","624","343","684","50.1"
"Real Time Session 2: Activity","2026-06-24","60","34","60","56.7"
"Designing Clear Prompts","2026-06-23","64","52","64","81.3"
"Real Time Session 1: Activity","2026-06-23","537","207","537","38.5"
"Real Time Session 2: Activity","2026-06-23","60","18","60","30"
"Real Time Session 1: Activity","2026-06-22","677","323","677","47.7"
"Real Time Session 2: Activity","2026-06-22","70","42","70","60"
"Designing Clear Prompts","2026-06-20","80","54","80","67.5"
"Mastering the Art of Discussion","2026-06-20","60","43","60","71.7"
"Real Time Session 1: Activity","2026-06-20","346","193","346","55.8"
"The Language of Connection: Activity","2026-06-20","107","12","107","11.2"
"Designing Clear Prompts","2026-06-19","525","306","525","58.3"
"Mastering the Art of Discussion","2026-06-19","94","67","94","71.3"
"The Language of Connection","2026-06-19","39","0","39","0"
"Accuracy in sentence structure","2026-06-18","39","1","39","2.6"
"Designing Clear Prompts","2026-06-18","250","163","250","65.2"
"Mastering the Art of Discussion","2026-06-18","60","36","60","60"
"The Language of Connection","2026-06-18","307","160","307","52.1"
"Mastering the Art of Discussion","2026-06-17","532","206","532","38.7"
"The Language of Connection: Activity","2026-06-17","94","65","94","69.1"
"Mastering the Art of Discussion","2026-06-16","777","277","777","35.6"
"The Language of Connection","2026-06-16","94","72","94","76.6"
"Real Time Session 1: Activity","2026-06-15","299","97","299","32.4"
"The Language of Connection","2026-06-15","426","141","426","33.1"
"Accuracy in sentence structure","2026-06-13","60","16","60","26.7"
"The Language of Connection","2026-06-13","766","34","766","4.4"
"Accuracy in sentence structure","2026-06-12","477","103","477","21.6"
"The Language of Connection","2026-06-12","222","51","222","23"
"Accuracy in sentence structure","2026-06-11","802","48","802","6"
