"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"MCQ Practice","2026-08-22","497","61","497","12.3"
"Protected Routes with JWT Authentication","2026-08-22","604","128","604","21.2"
"MCQ Practice","2026-08-20","946","578","946","61.1"
"Protected Routes with JWT Authentication","2026-08-20","776","515","776","66.4"
"Coding Practice","2026-08-19","336","247","396","62.4"
"Filtering and Sorting","2026-08-19","122","92","122","75.4"
"MCQ Practice","2026-08-19","595","386","655","58.9"
"Protected Routes with JWT Authentication","2026-08-19","876","501","876","57.2"
"Coding Practice","2026-08-08","336","137","336","40.8"
"Filtering and Sorting","2026-08-08","313","142","313","45.4"
"MCQ Practice","2026-08-08","617","274","617","44.4"
"Coding Practice","2026-08-04","578","468","638","73.4"
"Filtering and Sorting","2026-08-04","454","342","454","75.3"
"MCQ Practice","2026-08-04","291","212","291","72.9"
"Coding Practice","2026-08-03","76","46","76","60.5"
"Filtering and Sorting","2026-08-03","848","586","848","69.1"
"MCQ Practice","2026-08-03","407","296","407","72.7"
"Coding Practice","2026-08-01","169","104","169","61.5"
"Filtering and Sorting","2026-08-01","1039","618","1039","59.5"
"MCQ Practice","2026-08-01","519","317","558","56.8"
"Filtering and Sorting","2026-07-31","543","339","543","62.4"
"Implementing CRUD Operations | Part 2","2026-07-31","222","143","222","64.4"
"MCQ Practice","2026-07-31","932","655","932","70.3"
"Module Quiz-2","2026-07-31","1279","806","1279","63"
"Coding Practice","2026-07-30","58","42","58","72.4"
"Filtering and Sorting","2026-07-30","419","313","419","74.7"
"Implementing CRUD Operations | Part 2","2026-07-30","561","390","561","69.5"
"MCQ Practice","2026-07-30","797","556","797","69.8"
"Module Quiz-2","2026-07-30","60","36","60","60"
"Coding Practice","2026-07-29","120","71","120","59.2"
"Implementing CRUD Operations | Part 2","2026-07-29","874","633","874","72.4"
"MCQ Practice","2026-07-29","920","762","1014","75.1"
"Coding Practice","2026-07-28","665","577","741","77.9"
"Implementing CRUD Operations | Part 1","2026-07-28","141","111","141","78.7"
"Implementing CRUD Operations | Part 2","2026-07-28","543","426","543","78.5"
"MCQ Practice","2026-07-28","680","536","680","78.8"
"Coding Practice","2026-07-27","721","542","721","75.2"
"Implementing CRUD Operations | Part 1","2026-07-27","629","453","629","72"
"Implementing CRUD Operations | Part 2","2026-07-27","264","184","264","69.7"
"MCQ Practice","2026-07-27","614","461","653","70.6"
"Coding Practice","2026-07-23","555","402","555","72.4"
"Implementing CRUD Operations | Part 1","2026-07-23","613","470","613","76.7"
"Introduction to MVC and Mongoose Models","2026-07-23","76","52","76","68.4"
"MCQ Practice","2026-07-23","397","410","499","82.2"
"Coding Practice","2026-07-22","369","301","369","81.6"
"Implementing CRUD Operations | Part 1","2026-07-22","819","697","819","85.1"
"Introduction to MVC and Mongoose Models","2026-07-22","47","34","47","72.3"
"MCQ Practice","2026-07-22","884","874","1156","75.6"
"Coding Practice","2026-07-21","342","272","381","71.4"
"Connecting MongoDB to NodeJS","2026-07-21","76","64","76","84.2"
"Implementing CRUD Operations | Part 1","2026-07-21","70","60","70","85.7"
"Introduction to Express JS | Part 2","2026-07-21","47","26","47","55.3"
"Introduction to MVC and Mongoose Models","2026-07-21","281","211","281","75.1"
"MCQ Practice","2026-07-21","1133","980","1254","78.1"
"Coding Practice","2026-07-20","333","254","333","76.3"
"Connecting MongoDB to NodeJS","2026-07-20","76","53","76","69.7"
"Implementing CRUD Operations | Part 1","2026-07-20","231","172","231","74.5"
"Introduction to MVC and Mongoose Models","2026-07-20","574","450","574","78.4"
"MCQ Practice","2026-07-20","768","629","951","66.1"
"Coding Practice","2026-07-18","430","263","490","53.7"
"Connecting MongoDB to NodeJS","2026-07-18","502","292","502","58.2"
"Introduction to MVC and Mongoose Models","2026-07-18","190","103","190","54.2"
"MCQ Practice","2026-07-18","888","553","888","62.3"
"Coding Practice","2026-07-17","580","548","772","71"
"Connecting MongoDB to NodeJS","2026-07-17","468","357","468","76.3"
