"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Asteroid Collision","2026-08-22","256","68","256","26.6"
"Balanced Parenthesis","2026-08-22","60","27","60","45"
"Largest Rectangle In Histogram","2026-08-22","479","114","479","23.8"
"MCQ Practice","2026-08-22","1031","215","1125","19.1"
"Asteroid Collision","2026-08-20","629","462","629","73.4"
"Balanced Parenthesis","2026-08-20","60","32","60","53.3"
"Largest Rectangle In Histogram","2026-08-20","334","213","334","63.8"
"MCQ Practice","2026-08-20","1279","853","1459","58.5"
"Asteroid Collision","2026-08-19","120","39","120","32.5"
"Balanced Parenthesis","2026-08-19","648","409","648","63.1"
"Implement Min Stack","2026-08-19","171","108","171","63.2"
"Largest Rectangle In Histogram","2026-08-19","156","101","156","64.7"
"MCQ Practice","2026-08-19","1203","815","1380","59.1"
"Balanced Parenthesis","2026-08-18","231","150","231","64.9"
"Implement Min Stack","2026-08-18","244","205","244","84"
"Infix, Prefix, and Postfix Notations","2026-08-18","60","42","60","70"
"Stack Implementation Using Array","2026-08-18","94","64","94","68.1"
"Asteroid Collision","2026-08-14","58","46","58","79.3"
"Balanced Parenthesis","2026-08-14","124","98","124","79"
"Implement Min Stack","2026-08-14","295","188","295","63.7"
"Asteroid Collision","2026-08-13","156","133","156","85.3"
"Balanced Parenthesis","2026-08-13","205","174","205","84.9"
"Implement Min Stack","2026-08-13","70","62","70","88.6"
"Infix, Prefix, and Postfix Notations","2026-08-13","60","41","60","68.3"
"Balanced Parenthesis","2026-08-08","156","62","156","39.7"
"Implement Min Stack","2026-08-08","447","203","447","45.4"
"Infix, Prefix, and Postfix Notations","2026-08-08","60","34","60","56.7"
"Introduction to Monotonic Stacks","2026-08-08","60","31","60","51.7"
"MCQ Practice","2026-08-08","908","386","908","42.5"
"MCQ Practice | Largest Subarray Sum","2026-08-08","47","15","47","31.9"
"MCQ Practice | Longest Subarray with Sum K","2026-08-08","556","253","556","45.5"
"Implement Min Stack","2026-08-04","398","308","398","77.4"
"Infix, Prefix, and Postfix Notations","2026-08-04","701","536","701","76.5"
"Introduction to Monotonic Stacks","2026-08-04","60","43","60","71.7"
"MCQ Practice","2026-08-04","851","726","945","76.8"
"Stack Implementation Using Linked List","2026-08-04","60","51","60","85"
"Implement Min Stack","2026-08-03","60","38","60","63.3"
"Infix, Prefix, and Postfix Notations","2026-08-03","832","625","832","75.1"
"Introduction to Monotonic Stacks","2026-08-03","327","205","327","62.7"
"MCQ Practice","2026-08-03","449","325","449","72.4"
"Stack Implementation Using Array","2026-08-03","60","36","60","60"
"Infix, Prefix, and Postfix Notations","2026-08-01","60","41","60","68.3"
"Introduction of Stack","2026-08-01","60","42","60","70"
"Introduction to Monotonic Stacks","2026-08-01","895","630","895","70.4"
"MCQ Practice","2026-08-01","1006","787","1204","65.4"
"Stack Implementation Using Linked List","2026-08-01","39","16","39","41"
"Introduction of Stack","2026-07-31","60","44","60","73.3"
"Introduction to Monotonic Stacks","2026-07-31","891","688","891","77.2"
"MCQ Practice","2026-07-31","930","640","1006","63.6"
"Stack Implementation Using Linked List","2026-07-31","161","95","161","59"
"Flatten a Linked List","2026-07-30","60","47","60","78.3"
"Introduction to Monotonic Stacks","2026-07-30","422","347","422","82.2"
"MCQ Practice","2026-07-30","1077","820","1141","71.9"
"Module Quiz-2","2026-07-30","1219","882","1219","72.4"
"Stack Implementation Using Array","2026-07-30","62","44","62","71"
"Stack Implementation Using Linked List","2026-07-30","568","440","568","77.5"
"Introduction to Monotonic Stacks","2026-07-29","167","106","167","63.5"
"MCQ Practice","2026-07-29","742","564","804","70.1"
"Stack Implementation Using Array","2026-07-29","471","365","471","77.5"
"Stack Implementation Using Linked List","2026-07-29","459","329","459","71.7"
"Flatten a Linked List","2026-07-28","62","47","62","75.8"
"Introduction of Stack","2026-07-28","529","420","529","79.4"
"MCQ Practice","2026-07-28","1090","1038","1392","74.6"
"MCQ Practice | Longest Subarray with Sum K","2026-07-28","60","43","60","71.7"
"Stack Implementation Using Array","2026-07-28","422","333","422","78.9"
"Stack Implementation Using Linked List","2026-07-28","167","99","167","59.3"
"Flatten a Linked List","2026-07-27","529","414","529","78.3"
"Introduction of Stack","2026-07-27","523","401","523","76.7"
"MCQ Practice","2026-07-27","867","683","927","73.7"
"Stack Implementation Using Array","2026-07-27","99","53","99","53.5"
"Flatten a Linked List","2026-07-23","278","208","278","74.8"
"Intersection Of Two Linked Lists","2026-07-23","591","456","591","77.2"
"Introduction of Stack","2026-07-23","60","32","60","53.3"
"MCQ Practice","2026-07-23","1101","1154","1419","81.3"
"Stack Implementation Using Array","2026-07-23","60","38","60","63.3"
"Flatten a Linked List","2026-07-22","183","140","183","76.5"
"Intersection Of Two Linked Lists","2026-07-22","594","487","594","82"
"Introduction of Stack","2026-07-22","107","73","107","68.2"
"MCQ Practice","2026-07-22","1048","1009","1232","81.9"
"Merge Two Sorted Linked List","2026-07-22","164","145","164","88.4"
"Adding Two Numbers","2026-07-21","70","59","70","84.3"
"Flatten a Linked List","2026-07-21","167","91","167","54.5"
"Intersection Of Two Linked Lists","2026-07-21","144","131","144","91"
"MCQ Practice","2026-07-21","1157","1025","1384","74.1"
"Merge Two Sorted Linked List","2026-07-21","765","614","765","80.3"
"Adding Two Numbers","2026-07-20","663","533","663","80.4"
"Intersection Of Two Linked Lists","2026-07-20","206","112","206","54.4"
"Length of Cycle In Linked List","2026-07-20","70","51","70","72.9"
"MCQ Practice","2026-07-20","1078","1049","1418","74"
"MCQ Practice | Largest Subarray Sum","2026-07-20","47","30","47","63.8"
"MCQ Practice | Two Sum","2026-07-20","144","95","144","66"
"Merge Two Sorted Linked List","2026-07-20","144","107","144","74.3"
"Adding Two Numbers","2026-07-18","340","202","340","59.4"
"Cycle Detection In Linked List","2026-07-18","70","42","70","60"
"Intersection Of Two Linked Lists","2026-07-18","146","61","146","41.8"
"Length of Cycle In Linked List","2026-07-18","394","255","394","64.7"
"MCQ Practice","2026-07-18","1120","862","1310","65.8"
"MCQ Practice | Largest Subarray Sum","2026-07-18","242","163","242","67.4"
"MCQ Practice | Longest Subarray with Sum K","2026-07-18","60","48","60","80"
"MCQ Practice | Two Sum","2026-07-18","256","163","256","63.7"
"Circular Linked List","2026-07-17","70","51","70","72.9"
"Cycle Detection In Linked List","2026-07-17","60","52","60","86.7"
"Length of Cycle In Linked List","2026-07-17","669","534","669","79.8"
"MCQ Practice","2026-07-17","988","784","1082","72.5"
"MCQ Practice | Largest Subarray Sum","2026-07-17","76","63","76","82.9"
"Merge Two Sorted Linked List","2026-07-17","206","106","206","51.5"
"Reversing a Linked List","2026-07-17","274","179","274","65.3"
"Cycle Detection In Linked List","2026-07-16","556","445","556","80"
"Deletion in Doubly Linked List","2026-07-16","64","48","64","75"
"MCQ Practice","2026-07-16","1185","938","1232","76.1"
"MCQ Practice | Largest Subarray Sum","2026-07-16","60","45","60","75"
"MCQ Practice | Two Sum","2026-07-16","60","49","60","81.7"
"Reversing a Linked List","2026-07-16","130","101","130","77.7"
"Adding Two Numbers","2026-07-15","159","95","159","59.7"
"Circular Linked List","2026-07-15","130","110","130","84.6"
