"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Visual Reasoning Daily Practice","2026-08-04","291","229","291","78.7"
"Company Specific MCQs - Data Sufficiency","2026-08-03","60","46","60","76.7"
"Counting Figures Daily Practice","2026-08-03","118","80","118","67.8"
"Visual Reasoning","2026-08-03","231","160","231","69.3"
"Visual Reasoning Daily Practice","2026-08-03","163","112","163","68.7"
"Counting Figures","2026-08-01","60","29","60","48.3"
"Visual Reasoning","2026-08-01","223","147","223","65.9"
"Visual Reasoning Daily Practice","2026-08-01","599","391","599","65.3"
"Counting Figures Daily Practice","2026-07-31","231","155","231","67.1"
"Visual Reasoning","2026-07-31","463","320","463","69.1"
"Visual Reasoning Daily Practice","2026-07-31","410","285","410","69.5"
"Counting Figures Daily Practice","2026-07-30","76","58","76","76.3"
"Visual Reasoning","2026-07-30","486","371","486","76.3"
"Counting Figures","2026-07-29","286","215","286","75.2"
"Counting Figures Daily Practice","2026-07-29","533","362","533","67.9"
"Company Specific MCQs - Data Sufficiency","2026-07-28","295","216","295","73.2"
"Company Specific MCQs - Puzzles","2026-07-28","51","41","51","80.4"
"Counting Figures","2026-07-28","519","381","519","73.4"
"Counting Figures Daily Practice","2026-07-28","400","280","400","70"
"Company Specific MCQs - Data Sufficiency","2026-07-27","524","400","524","76.3"
"Company Specific MCQs - Puzzles","2026-07-27","295","207","295","70.2"
"Company Specific Session - Puzzles & Data Sufficiency","2026-07-27","60","54","60","90"
"Counting Figures","2026-07-27","414","290","414","70"
"Company Specific MCQs - Data Sufficiency","2026-07-23","400","300","400","75"
"Company Specific MCQs - Puzzles","2026-07-23","533","415","533","77.9"
"Company Specific Session - Puzzles & Data Sufficiency","2026-07-23","235","178","235","75.7"
"Data Sufficiency","2026-07-23","60","52","60","86.7"
"Data Sufficiency Daily Practice","2026-07-23","60","53","60","88.3"
"Company Specific MCQs - Puzzles","2026-07-22","400","305","400","76.3"
"Company Specific Session - Puzzles & Data Sufficiency","2026-07-22","584","442","584","75.7"
"Data Sufficiency Daily Practice","2026-07-22","180","139","180","77.2"
"Puzzles Daily Practice","2026-07-22","60","51","60","85"
"Company Specific MCQs - Cubes","2026-07-21","62","51","62","82.3"
"Company Specific Session - Puzzles & Data Sufficiency","2026-07-21","400","318","400","79.5"
"Data Sufficiency","2026-07-21","180","152","180","84.4"
"Data Sufficiency Daily Practice","2026-07-21","569","424","569","74.5"
"Puzzles","2026-07-21","60","51","60","85"
"Data Sufficiency","2026-07-20","569","396","569","69.6"
"Data Sufficiency Daily Practice","2026-07-20","470","322","470","68.5"
"Puzzles","2026-07-20","120","96","120","80"
"Puzzles Daily Practice","2026-07-20","120","97","120","80.8"
"Company Specific MCQs - Cubes","2026-07-18","120","62","120","51.7"
"Cubes Daily Practice","2026-07-18","62","34","62","54.8"
"Data Sufficiency","2026-07-18","470","285","470","60.6"
"Puzzles","2026-07-18","196","130","196","66.3"
"Puzzles Daily Practice","2026-07-18","413","221","413","53.5"
"Company Specific MCQs - Cubes","2026-07-17","311","235","311","75.6"
"Company Specific MCQs - Syllogisms","2026-07-17","60","42","60","70"
"Puzzles","2026-07-17","545","426","592","72"
"Puzzles Daily Practice","2026-07-17","554","384","554","69.3"
"Company Specific MCQs - Cubes","2026-07-16","653","516","653","79"
"Company Specific MCQs - Syllogisms","2026-07-16","234","190","234","81.2"
"Puzzles","2026-07-16","286","229","286","80.1"
"Puzzles Daily Practice","2026-07-16","132","110","132","83.3"
"Quiz - Venn Diagrams and Syllogisms","2026-07-16","1279","993","1279","77.6"
"Company Specific MCQs - Blood relations","2026-07-15","60","46","60","76.7"
"Company Specific MCQs - Cubes","2026-07-15","364","296","364","81.3"
"Company Specific MCQs - Syllogisms","2026-07-15","561","389","561","69.3"
"Company Specific MCQs - Venn Diagrams","2026-07-15","263","204","263","77.6"
"Company Specific Session - Venn Diagrams, Syllogisms, Cubes","2026-07-15","94","79","94","84"
"Puzzles","2026-07-15","124","92","124","74.2"
"Company Specific MCQs - Data Arrangements","2026-07-14","60","49","60","81.7"
"Company Specific MCQs - Syllogisms","2026-07-14","424","313","424","73.8"
"Company Specific MCQs - Venn Diagrams","2026-07-14","388","262","388","67.5"
"Company Specific Session - Venn Diagrams, Syllogisms, Cubes","2026-07-14","60","52","60","86.7"
"Cubes Daily Practice","2026-07-14","62","55","62","88.7"
"Puzzles","2026-07-14","144","110","144","76.4"
"Company Specific MCQs - Cubes","2026-07-13","60","35","60","58.3"
"Company Specific MCQs - Venn Diagrams","2026-07-13","564","426","564","75.5"
"Company Specific Session - Venn Diagrams, Syllogisms, Cubes","2026-07-13","533","339","533","63.6"
"Venn Diagrams Daily Practice","2026-07-13","58","44","58","75.9"
"Company Specific MCQs - Venn Diagrams","2026-07-11","64","37","64","57.8"
"Company Specific Session - Venn Diagrams, Syllogisms, Cubes","2026-07-11","464","245","464","52.8"
"Cubes Daily Practice","2026-07-11","205","141","205","68.8"
"Company Specific Session - Venn Diagrams, Syllogisms, Cubes","2026-07-09","128","89","128","69.5"
"Cubes","2026-07-09","173","95","173","54.9"
"Cubes Daily Practice","2026-07-09","456","238","456","52.2"
"Cubes","2026-07-08","472","336","472","71.2"
"Cubes Daily Practice","2026-07-08","356","360","450","80"
"Quiz - Data Arrangements and Blood relations","2026-07-08","1279","935","1279","73.1"
"Cubes","2026-07-07","773","593","843","70.3"
"Cubes Daily Practice","2026-07-07","140","107","140","76.4"
"Cubes","2026-07-06","515","343","515","66.6"
"Cubes Daily Practice","2026-07-06","154","99","154","64.3"
"Syllogisms 1 Daily Practice","2026-07-06","60","49","60","81.7"
"Syllogisms 2","2026-07-06","60","50","60","83.3"
"Syllogisms 2 Daily Practice","2026-07-06","471","284","471","60.3"
"Syllogisms 1","2026-07-03","60","44","60","73.3"
"Syllogisms 1 Daily Practice","2026-07-03","120","82","120","68.3"
"Syllogisms 2","2026-07-03","303","201","303","66.3"
"Syllogisms 2 Daily Practice","2026-07-03","385","252","385","65.5"
"Syllogisms 1","2026-07-02","60","50","60","83.3"
"Syllogisms 1 Daily Practice","2026-07-02","208","139","208","66.8"
"Syllogisms 2","2026-07-02","280","146","280","52.1"
"Syllogisms 2 Daily Practice","2026-07-02","359","259","359","72.1"
"Syllogisms 1 Daily Practice","2026-07-01","200","79","200","39.5"
"Syllogisms 2","2026-07-01","383","197","383","51.4"
"Syllogisms 2 Daily Practice","2026-07-01","64","43","64","67.2"
"Syllogisms 1","2026-06-29","122","86","122","70.5"
"Syllogisms 1 Daily Practice","2026-06-29","620","455","620","73.4"
"Syllogisms 2","2026-06-29","762","586","838","69.9"
"Venn Diagrams Daily Practice","2026-06-29","60","28","60","46.7"
"Syllogisms 1","2026-06-27","781","402","781","51.5"
"Syllogisms 1 Daily Practice","2026-06-27","94","57","94","60.6"
"Venn Diagrams Daily Practice","2026-06-27","130","71","130","54.6"
"Company Specific MCQs - Blood relations","2026-06-25","60","20","60","33.3"
"Company Specific MCQs - Data Arrangements","2026-06-25","60","18","60","30"
"Syllogisms 1","2026-06-25","794","620","858","72.3"
"Venn Diagrams","2026-06-25","180","92","180","51.1"
"Venn Diagrams Daily Practice","2026-06-25","425","275","425","64.7"
"Blood Relations 2 Daily Practice","2026-06-24","70","55","70","78.6"
"Syllogisms 1","2026-06-24","94","81","94","86.2"
"Venn Diagrams","2026-06-24","584","354","584","60.6"
"Venn Diagrams Daily Practice","2026-06-24","740","504","740","68.1"
"Blood Relations 2 Daily Practice","2026-06-23","251","151","251","60.2"
"Company Specific MCQs - Blood relations","2026-06-23","721","469","721","65"
"Company Specific MCQs - Data Arrangements","2026-06-23","778","422","778","54.2"
"Company Specific Session - Arrangements & Blood relations","2026-06-23","136","68","136","50"
"Venn Diagrams","2026-06-23","299","204","299","68.2"
"Blood Relations 1 Daily Practice","2026-06-22","156","137","156","87.8"
"Blood Relations 2 Daily Practice","2026-06-22","533","284","533","53.3"
"Circular Arrangements Daily Practice","2026-06-22","51","83","102","81.4"
"Company Specific MCQs - Blood relations","2026-06-22","254","91","254","35.8"
"Company Specific MCQs - Data Arrangements","2026-06-22","264","103","264","39"
"Company Specific Session - Arrangements & Blood relations","2026-06-22","266","87","266","32.7"
"Venn Diagrams","2026-06-22","332","267","332","80.4"
"Blood Relations 1 Daily Practice","2026-06-20","141","54","141","38.3"
"Blood Relations 2 Daily Practice","2026-06-20","235","79","235","33.6"
"Company Specific MCQs - Blood relations","2026-06-20","154","104","154","67.5"
"Company Specific MCQs - Data Arrangements","2026-06-20","94","69","94","73.4"
"Company Specific Session - Arrangements & Blood relations","2026-06-20","587","408","645","63.3"
"Venn Diagrams","2026-06-20","64","51","64","79.7"
"Blood Relations 1 Daily Practice","2026-06-19","227","121","227","53.3"
"Blood Relations 2","2026-06-19","269","153","269","56.9"
"Blood Relations 2 Daily Practice","2026-06-19","248","177","248","71.4"
"Circular Arrangements Daily Practice","2026-06-19","117","60","164","36.6"
"Company Specific MCQs - Data Arrangements","2026-06-19","60","50","60","83.3"
"Company Specific Session - Arrangements & Blood relations","2026-06-19","608","367","608","60.4"
"Blood Relations 1","2026-06-18","170","90","170","52.9"
"Blood Relations 1 Daily Practice","2026-06-18","431","206","431","47.8"
"Blood Relations 2","2026-06-18","886","505","886","57"
"Blood Relations 2 Daily Practice","2026-06-18","260","135","260","51.9"
"Circular Arrangements Daily Practice","2026-06-18","94","53","94","56.4"
"Blood Relations 1","2026-06-17","432","214","432","49.5"
"Blood Relations 1 Daily Practice","2026-06-17","264","183","264","69.3"
"Blood Relations 2","2026-06-17","184","119","184","64.7"
"Circular Arrangements","2026-06-17","388","93","388","24"
"Circular Arrangements Daily Practice","2026-06-17","244","142","244","58.2"
"Blood Relations 1","2026-06-16","783","318","783","40.6"
"Blood Relations 1 Daily Practice","2026-06-16","131","76","131","58"
"Circular Arrangements","2026-06-16","263","119","263","45.2"
"Circular Arrangements Daily Practice","2026-06-16","453","153","453","33.8"
"Circular Arrangements","2026-06-15","760","306","760","40.3"
"Circular Arrangements Daily Practice","2026-06-15","429","121","429","28.2"
"Linear Arrangements","2026-06-13","451","65","451","14.4"
"Linear Arrangements Daily Practice","2026-06-13","1279","261","1279","20.4"
"Introduction","2026-06-12","237","24","237","10.1"
"Linear Arrangements","2026-06-12","828","217","890","24.4"
"Linear Arrangements Daily Practice","2026-06-12","293","51","293","17.4"
"Introduction","2026-06-11","1042","94","1042","9"
