"sessionTitle","date","studentCount","presentCount","totalCount","pct"
"Fundamentals of Probability Implementation","2026-08-22","156","54","156","34.6"
"Normal Distribution - I","2026-08-22","242","68","242","28.1"
"Poisson Distribution","2026-08-22","144","30","144","20.8"
"Practice Session Poisson Distribution","2026-08-22","60","0","60","0"
"Fundamentals of Probability Implementation","2026-08-20","250","166","250","66.4"
"Measures of Variability Implementation Practice Session","2026-08-20","111","55","111","49.5"
"Normal Distribution - I","2026-08-20","227","141","227","62.1"
"Poisson Distribution","2026-08-20","395","222","395","56.2"
"Practice Session Baye's Theorem and counting principles","2026-08-20","60","36","60","60"
"Practice Session Poisson Distribution","2026-08-20","124","79","124","63.7"
"Fundamentals of Probability Implementation","2026-08-19","419","237","419","56.6"
"Normal Distribution - I","2026-08-19","196","108","196","55.1"
"Poisson Distribution","2026-08-19","430","259","430","60.2"
"Practice Session Poisson Distribution","2026-08-19","76","29","76","38.2"
"Measures of Variability Implementation Practice Session","2026-08-13","156","118","156","75.6"
"Measures of Variability Implementation Practice Session","2026-08-12","122","100","122","82"
"Practice Session Baye's Theorem and counting principles","2026-08-12","60","45","60","75"
"Measures of Variability Implementation Practice Session","2026-08-11","398","324","398","81.4"
"Binomial Distribution","2026-08-08","193","76","193","39.4"
"Fundamentals of Probability Implementation","2026-08-08","51","10","51","19.6"
"Practice Session Baye's Theorem and counting principles","2026-08-08","604","295","604","48.8"
"Practice Session Poisson Distribution","2026-08-08","60","23","60","38.3"
"Binomial Distribution","2026-08-04","434","323","434","74.4"
"Fundamentals of Probability Implementation","2026-08-04","395","300","395","75.9"
"Poisson Distribution","2026-08-04","250","175","250","70"
"Practice Session Baye's Theorem and counting principles","2026-08-04","399","363","510","71.2"
"Practice Session Poisson Distribution","2026-08-04","60","39","60","65"
"Binomial Distribution","2026-08-03","109","71","109","65.1"
"Continuous Random Variables","2026-08-03","111","83","111","74.8"
"Fundamentals of Probability Implementation","2026-08-03","358","234","358","65.4"
"Poisson Distribution","2026-08-03","243","167","243","68.7"
"Practice Session Baye's Theorem and counting principles","2026-08-03","425","300","425","70.6"
"Binomial Distribution","2026-08-01","559","348","559","62.3"
"Continuous Random Variables","2026-08-01","111","69","111","62.2"
"Fundamentals of Probability Implementation","2026-08-01","266","141","266","53"
"Practice Session Baye's Theorem and counting principles","2026-08-01","188","113","188","60.1"
"Binomial Distribution","2026-07-31","518","363","518","70.1"
