"campus","subject","students","pct"
"A Dy Patil University","Logical Reasoning and Analytical Skills","335","52.6"
"A Dy Patil University","Design and Analysis of Algorithms","335","53"
"A Dy Patil University","Probability and Statistics","335","54"
"A Dy Patil University","AI For Finanace","335","54"
"A Dy Patil University","Operating Systems","335","54.4"
"A Dy Patil University","Back End Development","335","55.6"
"A Dy Patil University","Advanced Communication Skills","335","56.6"
"A Dy Patil University","Physics","285","58.9"
"A Dy Patil University","Communicative English Foundation","285","69.1"
"A Dy Patil University","Web Application Development","285","74.6"
"A Dy Patil University","Quantitative Aptitude","285","76.2"
"A Dy Patil University","Intro To NIAT","270","80"
"A Dy Patil University","Computer Programming","285","83.1"
"A Dy Patil University","Mathematics for Computer Science","282","85.4"
"A Dy Patil University","Introduction to Generative AI","284","85.5"
"AMET","Mathematics for Computer Science","213","0"
"AMET","Communicative English Foundation","213","0"
"AMET","Computer Programming","213","0"
"AMET","Introduction to Generative AI","213","2"
"AMET","Quantitative Aptitude","212","2.5"
"AMET","Web Application Development","213","2.6"
"AMET","Logical Reasoning and Analytical Skills","124","7.3"
"AMET","Probability and Statistics","124","19.5"
"AMET","Back End Development","124","19.6"
"AMET","Design and Analysis of Algorithms","124","28.1"
"AMET","AI For Finanace","124","46.3"
"AMET","Advanced Communications Skills","124","50.4"
"Alard University","Introduction to Generative AI","346","49.7"
"Alard University","Intro To NIAT","340","50.4"
"Alard University","Mathematics for Computer Science","345","59.8"
"Alard University","Quantitative Aptitude","345","61.3"
"Alard University","Computer Programming","346","66.5"
"Alard University","Communicative English Foundation","346","66.8"
"Alard University","Web Application Development","346","73"
"Annamacharya University","Intro To NIAT","222","42.2"
"Annamacharya University","Back End Development","138","54.1"
"Annamacharya University","AI For Finanace","138","72.1"
"Annamacharya University","Design and Analysis of Algorithms","138","75.2"
"Annamacharya University","Communicative English Foundation","268","76.7"
"Annamacharya University","Logical Reasoning and Analytical Skills","138","76.8"
"Annamacharya University","Advanced Communication Skills","138","78.6"
"Annamacharya University","Probability and Statistics","138","78.8"
"Annamacharya University","Quantitative Aptitude","260","80.1"
"Annamacharya University","Web Application Development 1","268","80.4"
"Annamacharya University","Computer Programming","268","84.9"
"Annamacharya University","Introduction to Generative AI","268","85"
"Annamacharya University","Mathematics For CSE","268","85.4"
"Aurora University","Data Science Foundations Quizzes","578","7.4"
"Aurora University","Advanced DBMS Quizzes","1432","8.7"
