"subject","section","sessionTitle","date","presentCount","totalCount","pct"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 8","2026-08-22","0","64","0"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 7","2026-08-19","22","64","34.4"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 6","2026-08-04","36","64","56.3"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 5","2026-08-03","30","64","46.9"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 4","2026-07-30","35","64","54.7"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 3","2026-07-28","42","64","65.6"
"Advanced Communication Skills","CDU Batch-1 - S-001","III semester Project - 2","2026-07-23","54","64","84.4"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 3: Activity","2026-07-17","40","64","62.5"
"Advanced Communication Skills","CDU Batch-1 - S-001","Emphasizing Self-Expression","2026-07-13","42","64","65.6"
"Advanced Communication Skills","CDU Batch-1 - S-001","Module 1 Quiz","2026-07-13","44","64","68.8"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 3: Activity","2026-07-09","48","64","75"
"Advanced Communication Skills","CDU Batch-1 - S-001","Framing Effective Questions","2026-07-07","37","64","57.8"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 2: Activity","2026-07-03","30","64","46.9"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 2: Activity","2026-07-02","36","64","56.3"
"Advanced Communication Skills","CDU Batch-1 - S-001","Designing Clear Prompts","2026-06-23","52","64","81.3"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 1: Activity","2026-06-22","43","64","67.2"
"Advanced Communication Skills","CDU Batch-1 - S-001","Real Time Session 1: Activity","2026-06-20","49","64","76.6"
"Advanced Communication Skills","CDU Batch-1 - S-001","Mastering the Art of Discussion","2026-06-17","42","64","65.6"
"Advanced Communication Skills","CDU Batch-1 - S-001","Mastering the Art of Discussion","2026-06-16","36","64","56.3"
"Advanced Communication Skills","CDU Batch-1 - S-001","The Language of Connection","2026-06-13","0","64","0"
"Advanced Communication Skills","CDU Batch-1 - S-001","Accuracy in sentence structure","2026-06-12","18","64","28.1"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 8","2026-08-22","0","64","0"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 7","2026-08-19","32","64","50"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 6","2026-08-04","35","64","54.7"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 5","2026-08-01","39","64","60.9"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 4","2026-07-28","46","64","71.9"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 3","2026-07-27","46","64","71.9"
"Advanced Communication Skills","CDU Batch-1 - S-002","III semester Project - 2","2026-07-23","44","64","68.8"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 3: Activity","2026-07-17","15","64","23.4"
"Advanced Communication Skills","CDU Batch-1 - S-002","Emphasizing Self-Expression","2026-07-13","42","64","65.6"
"Advanced Communication Skills","CDU Batch-1 - S-002","Module 1 Quiz","2026-07-13","41","64","64.1"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 3: Activity","2026-07-09","13","64","20.3"
"Advanced Communication Skills","CDU Batch-1 - S-002","Framing Effective Questions","2026-07-07","43","64","67.2"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 2: Activity","2026-07-06","17","64","26.6"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 2: Activity","2026-07-02","28","64","43.8"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 1: Activity","2026-06-25","51","64","79.7"
"Advanced Communication Skills","CDU Batch-1 - S-002","Real Time Session 1: Activity","2026-06-23","30","64","46.9"
"Advanced Communication Skills","CDU Batch-1 - S-002","Designing Clear Prompts","2026-06-19","35","64","54.7"
"Advanced Communication Skills","CDU Batch-1 - S-002","Mastering the Art of Discussion","2026-06-17","23","64","35.9"
"Advanced Communication Skills","CDU Batch-1 - S-002","The Language of Connection","2026-06-15","33","64","51.6"
"Advanced Communication Skills","CDU Batch-1 - S-002","Accuracy in sentence structure","2026-06-12","34","64","53.1"
"Advanced Communication Skills","CDU Batch-1 - S-003","III semester Project - 7","2026-08-20","35","80","43.8"
