"subjectTitle","studentCount","presentCount","totalCount","pct"
"Advanced Communication Skills","1297","17815","33400","53.3"
"Intro To NIAT","393","3103","5387","57.6"
"Probability and Statistics","1300","43878","67558","64.9"
"AI For Finance","1338","39004","59744","65.3"
"Back End Development","1339","61599","94071","65.5"
"Logical Reasoning and Analytical Skills","1346","33553","50239","66.8"
"Design and Analysis of Algorithms","1350","76635","114606","66.9"
"Communicative English Foundation","394","1491","2024","73.7"
"Quantitative Aptitude","394","1559","2068","75.4"
"Mathematics for Computer Science","394","1555","2024","76.8"
"Introduction to Generative AI","394","3447","4288","80.4"
"Web Application Development","394","3963","4827","82.1"
"Computer Programming","394","3680","4167","88.3"
