institute_name,semester_title,course_title
A Dy Patil University,Semester 1,Communicative English Foundation
A Dy Patil University,Semester 1,Computer Programming
A Dy Patil University,Semester 1,Intro To NIAT
A Dy Patil University,Semester 1,Introduction to Generative AI
A Dy Patil University,Semester 1,Mathematics for Computer Science
A Dy Patil University,Semester 1,Physics
A Dy Patil University,Semester 1,Quantitative Aptitude
A Dy Patil University,Semester 1,Web Application Development
A Dy Patil University,Semester 3,AI For Finanace
A Dy Patil University,Semester 3,Advanced Communication Skills
A Dy Patil University,Semester 3,Back End Development
A Dy Patil University,Semester 3,Design and Analysis of Algorithms
A Dy Patil University,Semester 3,Logical Reasoning and Analytical Skills
A Dy Patil University,Semester 3,Operating Systems
A Dy Patil University,Semester 3,Probability and Statistics
AMET,Semester 1,Communicative English Foundation
AMET,Semester 1,Computer Programming
AMET,Semester 1,Introduction to Generative AI
AMET,Semester 1,Mathematics for Computer Science
AMET,Semester 1,Quantitative Aptitude
AMET,Semester 1,Web Application Development
AMET,Semester 3,AI For Finanace
AMET,Semester 3,Advanced Communications Skills
AMET,Semester 3,Back End Development
AMET,Semester 3,Design and Analysis of Algorithms
AMET,Semester 3,Logical Reasoning and Analytical Skills
AMET,Semester 3,Probability and Statistics
Alard University,Semester 1,Communicative English Foundation
Alard University,Semester 1,Computer Programming
Alard University,Semester 1,Intro To NIAT
Alard University,Semester 1,Introduction to Generative AI
Alard University,Semester 1,Mathematics for Computer Science
Alard University,Semester 1,Quantitative Aptitude
Alard University,Semester 1,Web Application Development
Annamacharya University,Semester 1,Communicative English Foundation
Annamacharya University,Semester 1,Computer Programming
Annamacharya University,Semester 1,Intro To NIAT
Annamacharya University,Semester 1,Introduction to Generative AI
Annamacharya University,Semester 1,Mathematics For CSE
Annamacharya University,Semester 1,Quantitative Aptitude
Annamacharya University,Semester 1,Web Application Development 1
Annamacharya University,Semester 3,AI For Finanace
Annamacharya University,Semester 3,Advanced Communication Skills
Annamacharya University,Semester 3,Back End Development
Annamacharya University,Semester 3,Design and Analysis of Algorithms
Annamacharya University,Semester 3,Logical Reasoning and Analytical Skills
Annamacharya University,Semester 3,Probability and Statistics
Aurora University,Semester 4,Advanced DBMS Quizzes
Aurora University,Semester 4,Advanced Database Management Systems
Aurora University,Semester 4,Aptitude
Aurora University,Semester 4,Data Science Foundations Quizzes
Aurora University,Semester 4,Data Structures Using C++
Aurora University,Semester 4,English Language Proficiency - B2
Aurora University,Semester 4,English Language Proficiency Quizzes
Aurora University,Semester 4,Foundations of Data Science
Aurora University,Semester 4,Fundamentals of Artificial Intelligence
Aurora University,Semester 4,Fundamentals of Artificial Intelligence Quizzes
Aurora University,Semester 4,Probability Theory and Statistical Analysis
Aurora University,Semester 4,Probability and Statistics Quizzes
BEST University,Semester 1,Communicative English Foundation
BEST University,Semester 1,Computer Programming
BEST University,Semester 1,Intro To NIAT
BEST University,Semester 1,Introduction to Generative AI
BEST University,Semester 1,Mathematics for Computer Science
BEST University,Semester 1,Quantitative Aptitude
BEST University,Semester 1,Web Application Development 1
Chaitanya Deemed-to-be University,Semester 1,Communicative English Foundation
Chaitanya Deemed-to-be University,Semester 1,Computer Programming
Chaitanya Deemed-to-be University,Semester 1,Intro To NIAT
Chaitanya Deemed-to-be University,Semester 1,Introduction to Generative AI
Chaitanya Deemed-to-be University,Semester 1,Mathematics for Computer Science
Chaitanya Deemed-to-be University,Semester 1,Quantitative Aptitude
Chaitanya Deemed-to-be University,Semester 1,Web Application Development
Chaitanya Deemed-to-be University,Semester 3,AI For Finance
Chaitanya Deemed-to-be University,Semester 3,Advanced Communication Skills
Chaitanya Deemed-to-be University,Semester 3,Back End Development
Chaitanya Deemed-to-be University,Semester 3,Design and Analysis of Algorithms
Chaitanya Deemed-to-be University,Semester 3,Logical Reasoning and Analytical Skills
Chaitanya Deemed-to-be University,Semester 3,Probability and Statistics
Chalapathy (CITY),Semester 3,AI For Finanace
Chalapathy (CITY),Semester 3,Advanced Communication Skills
Chalapathy (CITY),Semester 3,Back End Development
Chalapathy (CITY),Semester 3,Design and Analysis of Algorithms
Chalapathy (CITY),Semester 3,Logical Reasoning and Analytical Skills
Chalapathy (CITY),Semester 3,Probability and Statistics
Crescent University,Semester 1,Communicative English Foundation
Crescent University,Semester 1,Mathematics for CSE
Crescent University,Semester 1,Programming Foundations
Crescent University,Semester 1,Web Application Development - 1
Crescent University,Semester 3,Applied Communicative English
Crescent University,Semester 3,Data Structures- II
Crescent University,Semester 3,Full Stack Back-end Development
Crescent University,Semester 3,Numerical Ability and Reasoning Skills for Engineers
Crescent University,Semester 3,Probability and Statistics
GMRIT,Semester 1,Computer Programming
GMRIT,Semester 1,Engineering Physics
GMRIT,Semester 1,English
GMRIT,Semester 1,GEN AI
GMRIT,Semester 1,Intro To NIAT
GMRIT,Semester 1,Maths for CSE
GMRIT,Semester 1,Quantitative Aptitude
GMRIT,Semester 1,Web Application Development
Geeta University,Semester 1,Communicative English Foundation
Geeta University,Semester 1,Computer Programming
Geeta University,Semester 1,Intro To NIAT
Geeta University,Semester 1,Introduction to Generative AI
Geeta University,Semester 1,Mathematics for Computer Science
Geeta University,Semester 1,Quantitative Aptitude
Geeta University,Semester 1,Web Application Development
IIT kharagpur,Semester 1,Assessment
IIT kharagpur,Semester 1,Semester 1
Intensive Offline DC,Semester 1,Advance Java
Intensive Offline DC,Semester 1,Advanced Java - Hibernate
Intensive Offline DC,Semester 1,Core Java
Intensive Offline DC,Semester 1,Core Java 2.0
Intensive Offline DC,Semester 1,Core Java 3.0
Intensive Offline DC,Semester 1,DBMS Fundamentals
Intensive Offline DC,Semester 1,Django & DRF for Backend Development
Intensive Offline DC,Semester 1,HTML & CSS
Intensive Offline DC,Semester 1,Hibernate Java
Intensive Offline DC,Semester 1,Integration & Deployment
Intensive Offline DC,Semester 1,Interview Prep Course
Intensive Offline DC,Semester 1,Introduction to Database
Intensive Offline DC,Semester 1,Introduction to GIT
Intensive Offline DC,Semester 1,Introduction to JavaScript
Intensive Offline DC,Semester 1,Introduction to ReactJS
