"subject","sessionTitle","presentCount","totalCount"
"Advanced Communication Skills","III semester Project - 8","188","693"
"Advanced Communication Skills","III semester Project - 7","493","1235"
"Advanced Communication Skills","III semester Project - 6","645","1279"
"Advanced Communication Skills","III semester Project - 5","601","1185"
"Advanced Communication Skills","III semester Project - 4","704","1094"
"Advanced Communication Skills","III semester Project - 3","782","1228"
"Advanced Communication Skills","III semester Project - 2","663","1038"
"Advanced Communication Skills","Real Time Session 3: Activity","1566","2861"
"Advanced Communication Skills","Emphasizing Self-Expression","725","1277"
"Advanced Communication Skills","Module 1 Quiz","921","1279"
"Advanced Communication Skills","Framing Effective Questions","944","1401"
"Advanced Communication Skills","Real Time Session 2: Activity","1589","3329"
"Advanced Communication Skills","Designing Clear Prompts","908","1446"
"Advanced Communication Skills","Real Time Session 1: Activity","1334","2993"
"Advanced Communication Skills","Mastering the Art of Discussion","672","1656"
"Advanced Communication Skills","The Language of Connection","458","1854"
"Advanced Communication Skills","Accuracy in sentence structure","168","1378"
"Advanced Communication Skills","III semester Project - 1","840","1198"
"Advanced Communication Skills","The Language of Connection: Activity","77","201"
"Advanced Communication Skills","III semester Project - 9","22","181"
"Logical Reasoning and Analytical Skills","Visual Reasoning Daily Practice","1017","1463"
"Logical Reasoning and Analytical Skills","Visual Reasoning","998","1403"
"Logical Reasoning and Analytical Skills","Counting Figures Daily Practice","935","1358"
"Logical Reasoning and Analytical Skills","Counting Figures","915","1279"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Data Sufficiency","962","1279"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Puzzles","968","1279"
"Logical Reasoning and Analytical Skills","Company Specific Session - Puzzles & Data Sufficiency","992","1279"
"Logical Reasoning and Analytical Skills","Data Sufficiency Daily Practice","938","1279"
"Logical Reasoning and Analytical Skills","Data Sufficiency","885","1279"
"Logical Reasoning and Analytical Skills","Puzzles Daily Practice","863","1279"
"Logical Reasoning and Analytical Skills","Quiz - Venn Diagrams and Syllogisms","993","1279"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Cubes","1195","1570"
"Logical Reasoning and Analytical Skills","Puzzles","1134","1522"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Syllogisms","934","1279"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Venn Diagrams","929","1279"
"Logical Reasoning and Analytical Skills","Company Specific Session - Venn Diagrams, Syllogisms, Cubes","804","1279"
"Logical Reasoning and Analytical Skills","Cubes Daily Practice","1034","1529"
"Logical Reasoning and Analytical Skills","Quiz - Data Arrangements and Blood relations","935","1279"
"Logical Reasoning and Analytical Skills","Cubes","1367","2003"
"Logical Reasoning and Analytical Skills","Syllogisms 2 Daily Practice","838","1279"
"Logical Reasoning and Analytical Skills","Syllogisms 1 Daily Practice","861","1302"
"Logical Reasoning and Analytical Skills","Syllogisms 2","1180","1864"
"Logical Reasoning and Analytical Skills","Syllogisms 1","1283","1975"
"Logical Reasoning and Analytical Skills","Venn Diagrams Daily Practice","922","1413"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Blood relations","730","1249"
"Logical Reasoning and Analytical Skills","Company Specific MCQs - Data Arrangements","711","1316"
"Logical Reasoning and Analytical Skills","Venn Diagrams","968","1459"
"Logical Reasoning and Analytical Skills","Blood Relations 2 Daily Practice","881","1597"
"Logical Reasoning and Analytical Skills","Company Specific Session - Arrangements & Blood relations","930","1655"
"Logical Reasoning and Analytical Skills","Blood Relations 1 Daily Practice","777","1350"
